City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
198,Finnsnes,NO,69.2296,17.9811,17.6,93,81,2.3,broken clouds
199,Vao,NC,-22.6667,167.4833,77.67,73,9,12.68,clear sky
200,Road Town,VG,18.4167,-64.6167,77.0,80,0,18.01,clear sky
201,Nouadhibou,MR,20.931,-17.0347,64.4,94,0,12.66,clear sky
202,Norsup,VU,-16.0667,167.3833,83.35,71,27,8.9,scattered clouds
203,Iqaluit,CA,63.7506,-68.5145,-25.6,62,1,13.8,clear sky
204,Okhotsk,RU,59.3833,143.3,14.32,70,45,6.53,scattered clouds
205,Dzhebariki-Khaya,RU,62.2167,135.8,7.11,78,74,2.82,broken clouds
206,Agadir,MA,30.4202,-9.5982,59.0,38,0,9.22,clear sky
207,Kalaleh,IR,37.3807,55.4916,51.8,100,90,9.22,mist
208,Cabedelo,BR,-6.9811,-34.8339,75.2,100,0,4.61,clear sky
209,Galesong,ID,-5.3166,119.3661,84.2,79,40,5.75,moderate rain
210,Harnosand,SE,62.6323,17.9379,28.99,93,1,6.91,clear sky
211,Denpasar,ID,-8.65,115.2167,86.0,74,40,2.3,scattered clouds
212,Innisfail,AU,-17.5333,146.0333,85.24,66,35,6.4,scattered clouds
213,Nemuro,JP,43.3236,145.575,44.6,65,40,14.97,scattered clouds
214,Piney Green,US,34.716,-77.3202,69.8,83,40,10.36,scattered clouds
215,Acarau,BR,-2.8856,-40.12,76.91,84,100,5.68,light rain
216,Hami,CN,42.8,93.45,60.17,22,0,4.43,clear sky
217,Key Largo,US,25.0865,-80.4473,77.0,71,4,4.0,light rain
218,Bulnes,CL,-36.7423,-72.2985,50.0,71,41,2.3,scattered clouds
219,Antequera,ES,37.0194,-4.5612,55.0,76,0,9.22,clear sky
220,Lavrentiya,RU,65.5833,-171.0,1.96,94,75,3.15,broken clouds
221,Talara,PE,-4.5772,-81.2719,73.11,77,17,10.63,few clouds
222,Olafsvik,IS,64.8945,-23.7142,20.5,78,100,26.08,overcast clouds
223,Zyryanka,RU,65.75,150.85,2.21,78,100,9.64,overcast clouds
224,Ketchikan,US,55.3422,-131.6461,41.0,75,90,3.44,light rain
225,Komsomolskiy,UZ,40.4272,71.7189,60.8,55,40,25.32,scattered clouds
226,Haimen,CN,23.1935,116.6142,73.4,49,0,8.95,clear sky
227,Kloulklubed,PW,7.0419,134.2556,84.2,79,90,12.66,overcast clouds
228,Codrington,AU,-38.2667,141.9667,68.65,44,99,14.14,overcast clouds
229,Moron,AR,-34.6534,-58.6198,68.0,99,99,2.55,overcast clouds
230,Touros,BR,-5.1989,-35.4608,75.2,94,75,4.61,heavy intensity rain
231,Vallenar,CL,-28.5708,-70.7581,66.22,56,0,0.45,clear sky
232,Lakatoro,VU,-16.0999,167.4164,83.34,71,30,8.9,scattered clouds
233,Awjilah,LY,29.1081,21.2869,48.97,66,4,8.03,clear sky
234,Lexington,US,37.9887,-84.4777,64.99,88,90,19.57,overcast clouds
235,Mendoza,AR,-32.8908,-68.8272,57.2,77,90,6.91,overcast clouds
236,Katobu,ID,-4.9408,122.5276,85.05,71,81,5.84,moderate rain
237,Pacific Grove,US,36.6177,-121.9166,50.0,86,32,5.01,scattered clouds
238,Gizo,SB,-8.103,156.8419,83.73,73,70,4.81,moderate rain
